molecule_number,Mol num,smiles,"pka (h2O/dioxane, 70C)",pKa (fitted),"pKaH (fitted, 70C)","pKaH (NMR, 25C)",pH,log(k_obs),T (celcius),Solvents,Ratio of solvents,Percent zwitterion at pH 5.0-5.5,Concentration (mol/L),Notes
28,23,COc1ccc(B(O)O)cc1,11.78,,-20,,13.3,-6.63,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
72,24,OB(O)c1c(F)c(F)c(F)c(F)c1F,7.67,,-20,,13.3,2.43,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
72,24,OB(O)c1c(F)c(F)c(F)c(F)c1F,7.67,,-20,,2.25,-2.94,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
73,25,OB(O)c1ccccc1,11.25,,-20,,13.3,-7.39,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
74,26,OB(O)c1ccccc1F,10.14,,-20,,13.3,-5,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
75,27,OB(O)c1cccc(F)c1,10.46,,-20,,13.3,-7.4,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
76,28,OB(O)c1ccc(F)cc1,10.97,,-20,,13.3,-7.23,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
77,29,OB(O)c1cccc(F)c1F,9.51,,-20,,13.3,-3.92,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
78,30,OB(O)c1ccc(F)cc1F,10.02,,-20,,13.3,-4.6,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
79,31,OB(O)c1cc(F)ccc1F,9.34,,-20,,13.3,-4.2,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
80,32,OB(O)c1ccc(F)c(F)c1,10.34,,-20,,13.3,-7.13,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
81,33,OB(O)c1cc(F)cc(F)c1,9.78,,-20,,13.3,-7.08,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
82,34,OB(O)c1ccc(F)c(F)c1F,9.06,,-20,,13.3,-3.53,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
83,35,OB(O)c1cc(F)cc(F)c1F,8.74,,-20,,13.3,-2.95,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
84,36,OB(O)c1cc(F)c(F)cc1F,9,,-20,,13.3,-3.76,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
85,37,OB(O)c1cc(F)c(F)c(F)c1,9.44,,-20,,13.3,-6.77,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
86,38,OB(O)c1cc(F)c(F)c(F)c1F,8.91,,-20,,7.38,-3.28,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
86,38,OB(O)c1cc(F)c(F)c(F)c1F,8.91,,-20,,13.3,-2.41,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
87,39,OB(O)c1c(F)ccc(F)c1F,8.66,,-20,,13.3,0.47,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
87,39,OB(O)c1c(F)ccc(F)c1F,8.66,,-20,,6.01,-2.2,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
88,40,OB(O)c1c(F)cc(F)cc1F,9.03,,-20,,7.34,-1.97,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
88,40,OB(O)c1c(F)cc(F)cc1F,9.03,,-20,,13.3,-0.26,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
89,41,OB(O)c1c(F)cc(F)c(F)c1F,8.39,,-20,,13.3,1.02,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
89,41,OB(O)c1c(F)cc(F)c(F)c1F,8.39,,-20,,6,-1.4,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
90,42,OB(O)c1c(F)c(F)cc(F)c1F,7.97,,-20,,13.3,1.79,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
90,42,OB(O)c1c(F)c(F)cc(F)c1F,7.97,,-20,,2.01,-4.17,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
91,43,COc1ccc(B(O)O)c(F)c1,10.78,,-20,,13.3,-5.25,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
92,44,OB(O)c1ccc(C(F)(F)F)cc1F,9.04,,-20,,13.3,-4.03,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
93,45,OB(O)c1cc(N(O)O)ccc1F,8.22,,-20,,13.3,-3.1,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
93,45,OB(O)c1cc(N(O)O)ccc1F,8.22,,-20,,7.42,-3.96,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
94,46,COc1cc(F)c(B(O)O)c(F)c1,9.56,,-20,,13.3,-1.01,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
94,46,COc1cc(F)c(B(O)O)c(F)c1,9.56,,-20,,7.38,-3.2,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
95,47,COc1c(F)c(F)c(B(O)O)c(F)c1F,8.33,,-20,,2.3,-4.16,70,"water, dioxane",50/50,,,"Low pH (k_slow, as opposed to saturation conditions, which is k_max)"
95,47,COc1c(F)c(F)c(B(O)O)c(F)c1F,8.33,,-20,,13.3,1.88,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
96,48,OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,9.38,,-20,,13.3,-6.81,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
97,49,OB(O)c1cc(N(O)O)cc(N(O)O)c1,7.91,,-20,,13.3,-4.92,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
98,50,Cc1ccc(B(O)O)cc1,11.78,,-20,,13.3,-6.8,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
99,51,OB(O)c1cccc(Cl)c1,10.56,,-20,,13.3,-6.85,70,"water, dioxane",50/50,,,Saturation conditions of KOH (2 equiv); 0.1 equiv of TFA or PPA
